#{"t_start": 1717156320.7890003, "env_id": "MagnetEnv_OSC-v0"}
r,l,t
-35.66411,2001,708.547479
-42.665157,2001,711.005638
-38.132054,2001,713.437016
-39.117174,2001,715.894802
-37.624316,2001,718.320667
-43.131553,2001,720.712894
-39.108418,2001,723.089384
-38.134604,2001,725.502044
-39.645676,2001,727.932252
-41.67452,2001,730.376476
-34.606526,2001,732.813193
-38.635821,2001,735.185003
-39.11653,2001,737.559017
-37.171297,2001,739.928365
-36.11435,2001,742.366089
-36.627859,2001,744.770511
-35.155938,2001,747.160939
-33.126749,2001,749.546978
-37.634967,2001,751.970472
-37.610468,2001,754.359164
-36.124211,2001,756.798108
-41.09423,2001,759.203589
-37.140848,2001,761.680879
-37.104236,2001,764.110411
-33.102779,2001,766.524912
-36.111978,2001,768.969211
-42.586689,2001,771.379416
-37.615615,2001,773.791196
-36.601533,2001,776.405223
-36.601533,2001,778.043326
-36.601533,2001,779.678762
-36.601533,2001,781.31448
-36.601533,2001,782.953041
-38.084478,2001,785.377195
-37.600388,2001,787.762896
-40.585143,2001,790.165783
-35.119194,2001,792.593732
-33.099375,2001,794.990718
-38.089716,2001,797.412832
-38.088273,2001,799.829075
-37.582724,2001,802.255318
-40.607239,2001,804.651125
-38.065749,2001,807.097838
-37.562928,2001,809.503249
-39.060399,2001,811.926041
-36.099626,2001,814.369617
-37.599634,2001,816.760314
-35.603842,2001,819.194573
-39.579168,2001,821.627592
-37.604545,2001,824.020935
-35.090612,2001,826.455211
-34.599689,2001,828.928996
-35.593801,2001,831.34486
-37.080658,2001,833.730727
-38.572265,2001,836.127787
-38.098478,2001,838.553848
-36.601506,2001,840.976857
-41.117148,2001,843.428374
-40.106886,2001,845.879734
-34.636962,2001,848.342491
-38.141616,2001,850.786508
-35.616484,2001,852.632225
-40.117003,2001,855.115919
-37.630613,2001,857.560367
-34.641266,2001,860.036077
-35.100046,2001,863.270005
-35.100046,2001,864.931341
-35.100046,2001,866.59346
-35.100046,2001,868.255218
-35.100046,2001,869.919122
-40.109091,2001,872.353564
-37.10132,2001,874.768491
-35.117593,2001,877.217927
-38.606969,2001,879.663659
-37.624253,2001,882.050775
